Symbol,Date,Open,High,Low,Close,Volume,Adjusted,EPS,Dividend
AAPL,2016-01-04,106.198,109.055,105.567,105.349998,67649400,101.790649,9.26,2.03
AAPL,2016-01-05,109.448,109.551,105.991,102.709999,55791000,99.239845,9.26,2.03
AAPL,2016-01-06,104.076,105.95,103.362,100.699997,68457400,97.29776,9.26,2.03
AAPL,2016-01-07,102.131,103.631,99.802,96.449997,81094400,93.191338,9.26,2.03
AAPL,2016-01-08,101.996,102.576,100.143,96.959999,70798000,93.68412,9.26,2.03
AAPL,2016-01-11,102.431,102.524,100.744,98.529999,49739400,95.201073,9.26,2.03
AAPL,2016-01-12,104.066,104.211,102.296,99.959999,49154200,96.582756,9.26,2.03
AAPL,2016-01-13,103.828,104.728,100.702,97.389999,62439600,94.099594,9.26,2.03
AAPL,2016-01-14,101.385,103.994,99.088,99.519997,63170100,96.157608,9.26,2.03
AAPL,2016-01-15,99.564,101.127,98.694,97.129997,79010000,93.848373,9.26,2.03
AAPL,2016-01-19,101.851,102.1,98.839,96.660004,53087700,93.394257,9.26,2.03
AAPL,2016-01-20,98.425,101.623,96.687,96.790001,72334400,93.519867,9.26,2.03
AAPL,2016-01-21,100.454,101.303,98.26,96.300003,52161500,93.046417,9.26,2.03
AAPL,2016-01-22,102.079,105.008,101.81,101.419998,65800500,97.993423,9.26,2.03
AAPL,2016-01-25,105.07,105.08,102.679,99.440002,51794500,96.080322,9.26,2.03
AAPL,2016-01-26,103.424,104.408,101.499,99.989998,75077000,96.61174,9.26,2.03
AAPL,2016-01-27,99.398,100.009,96.604,93.419998,133369700,90.263725,9.26,2.03
AAPL,2016-01-28,97.07,97.825,95.621,94.089996,55678800,90.911087,9.26,2.03
AAPL,2016-01-29,98.105,100.744,97.649,97.339996,64416500,94.05127,9.26,2.03
AAPL,2016-02-01,99.843,100.092,98.736,96.43,40943500,93.172028,9.48,2.03
AAPL,2016-02-02,98.757,99.398,97.577,94.480003,37357200,91.28791,9.48,2.03
AAPL,2016-02-03,98.322,100.226,97.37,96.349998,45964300,93.094734,9.48,2.03
AAPL,2016-02-04,98.677,100.19,97.987,96.599998,46471700,93.842743,9.48,2.08
AAPL,2016-02-05,99.356,99.768,96.443,94.019997,46418100,91.336388,9.48,2.08
AAPL,2016-02-08,95.866,98.512,95.774,95.010002,54021400,92.298134,9.48,2.08
AAPL,2016-02-09,97.06,98.759,96.69,94.989998,44331200,92.278694,9.48,2.08
AAPL,2016-02-10,98.738,99.181,96.865,94.269997,42343600,91.579254,9.48,2.08
AAPL,2016-02-11,96.546,97.503,95.31,93.699997,50074700,91.025528,9.48,2.08
AAPL,2016-02-12,96.957,97.277,95.743,93.989998,40351400,91.307251,9.48,2.08
AAPL,2016-02-16,97.812,99.696,97.39,96.639999,49057900,93.881607,9.48,2.08
AAPL,2016-02-17,99.51,101.096,98.975,98.120003,44863200,95.319359,9.48,2.08
AAPL,2016-02-18,101.744,101.796,98.913,96.260002,39021000,93.512459,9.48,2.08
AAPL,2016-02-19,98.821,99.603,98.615,96.040001,35374200,93.298737,9.48,2.08
AAPL,2016-02-22,99.14,99.747,98.738,96.879997,34280800,94.114754,9.48,2.08
AAPL,2016-02-23,99.232,99.335,97.328,94.690002,31942600,91.987267,9.48,2.08
AAPL,2016-02-24,96.741,99.212,96.062,96.099998,36255700,93.357018,9.48,2.08
AAPL,2016-02-25,98.872,99.603,98.049,96.760002,27582700,93.998184,9.48,2.08
AAPL,2016-02-26,100.056,100.9,99.418,96.910004,28991100,94.143906,9.48,2.08
AAPL,2016-02-29,99.706,101.116,99.49,96.690002,35216300,93.930183,9.48,2.08
AAPL,2016-03-01,100.519,103.731,100.282,100.529999,50407100,97.660561,9.48,2.08
AAPL,2016-03-02,103.463,103.854,102.568,100.75,33169600,97.874298,9.48,2.08
AAPL,2016-03-03,103.535,104.698,103.401,101.5,36955700,98.602882,9.48,2.08
AAPL,2016-03-04,105.378,106.798,104.348,103.010002,46055100,100.069786,9.48,2.08
AAPL,2016-03-07,105.398,105.851,103.926,101.870003,35828900,98.962318,9.48,2.08
AAPL,2016-03-08,103.741,104.75,103.35,101.029999,31561900,98.146294,9.48,2.08
AAPL,2016-03-09,104.287,104.565,103.216,101.120003,27201700,98.233734,9.48,2.08
AAPL,2016-03-10,104.39,105.244,103.093,101.169998,33513600,98.282295,9.48,2.08
AAPL,2016-03-11,105.244,105.285,104.482,102.260002,27408200,99.341187,9.48,2.08
AAPL,2016-03-14,104.904,105.934,104.77,102.519997,25076100,99.593773,9.48,2.08
AAPL,2016-03-15,107.015,108.27,106.901,104.580002,40067700,101.594978,9.48,2.08
AAPL,2016-03-16,107.684,109.434,107.663,105.970001,38303500,102.945305,9.48,2.08
AAPL,2016-03-17,108.62,109.598,108.044,105.800003,34420700,102.780144,9.48,2.08
AAPL,2016-03-18,109.464,109.629,108.281,105.919998,44205200,102.896729,9.48,2.08
AAPL,2016-03-21,109.042,110.813,108.229,105.910004,35502700,102.887009,9.48,2.08
AAPL,2016-03-22,108.342,110.442,108.301,106.720001,32444400,103.673882,9.48,2.08
AAPL,2016-03-23,109.609,110.216,109.012,106.129997,25703500,103.100731,9.48,2.08
AAPL,2016-03-24,108.569,109.372,107.972,105.669998,26133000,102.653854,9.48,2.08
AAPL,2016-03-28,109.114,109.31,108.147,105.190002,19411400,102.187561,9.48,2.08
AAPL,2016-03-29,107.972,110.957,107.962,107.68,31190100,104.606491,9.48,2.08
AAPL,2016-03-30,111.842,113.664,111.791,109.559998,45601100,106.432831,9.48,2.08
AAPL,2016-03-31,112.944,113.129,112.079,108.989998,25888400,105.879097,9.48,2.08
AAPL,2016-04-01,111.976,113.232,111.379,109.989998,25874000,106.850548,9.48,2.08
AAPL,2016-04-04,113.664,115.486,113.51,111.120003,37356200,107.948303,9.48,2.08
AAPL,2016-04-05,112.728,113.983,112.635,109.809998,26578700,106.675682,9.48,2.08
AAPL,2016-04-06,113.469,114.241,112.408,110.959999,26404100,107.79287,9.48,2.08
AAPL,2016-04-07,113.18,113.664,111.297,108.540001,31801900,105.441956,9.48,2.08
AAPL,2016-04-08,112.11,112.995,111.348,108.660004,23581700,105.558517,9.48,2.08
AAPL,2016-04-11,112.172,113.86,112.028,109.019997,29407500,105.908234,9.48,2.08
AAPL,2016-04-12,112.553,113.747,111.853,110.440002,27232300,107.287712,9.48,2.08
AAPL,2016-04-13,114.055,115.641,114.055,112.040001,33257300,108.842041,9.48,2.08
AAPL,2016-04-14,114.9,115.692,114.601,112.099998,25473900,108.900322,9.48,2.08
AAPL,2016-04-15,115.404,115.6,112.954,109.849998,46939000,106.714546,9.48,2.08
AAPL,2016-04-18,112.089,112.151,110.082,107.480003,60834000,104.412193,9.48,2.08
AAPL,2016-04-19,111.05,111.173,109.351,106.910004,32384900,103.858475,9.48,2.08
AAPL,2016-04-20,109.773,111.266,109.176,107.129997,30611000,104.072182,9.48,2.08
AAPL,2016-04-21,110.072,110.072,108.62,105.970001,31552500,102.945305,9.48,2.08
AAPL,2016-04-22,108.095,109.609,107.694,105.68,33683100,102.663574,9.48,2.08
AAPL,2016-04-25,108.085,108.754,107.581,105.080002,28031600,102.080704,9.48,2.08
AAPL,2016-04-26,106.963,108.394,106.963,104.349998,56016200,101.371529,9.48,2.08
AAPL,2016-04-27,98.821,101.61,98.491,97.82,114602100,95.027931,9.48,2.08
AAPL,2016-04-28,100.478,100.756,97.019,94.830002,82242700,92.123268,9.48,2.08
AAPL,2016-04-29,96.752,97.503,95.228,93.739998,68531500,91.064392,9.48,2.08
AAPL,2016-05-02,96.731,96.844,95.115,93.639999,48160100,90.967239,9.05,2.08
AAPL,2016-05-03,96.968,98.553,96.432,95.18,56831300,92.46328,9.05,2.08
AAPL,2016-05-04,97.997,98.718,96.577,94.190002,41025500,91.501541,9.05,2.08
AAPL,2016-05-05,96.176,96.248,94.826,93.239998,35890500,91.130135,9.05,2.13
AAPL,2016-05-06,95.532,95.614,93.977,92.720001,43458200,90.621895,9.05,2.13
AAPL,2016-05-09,95.153,95.941,94.734,92.790001,32936400,90.690315,9.05,2.13
AAPL,2016-05-10,95.491,95.736,94.243,93.419998,33686800,91.306053,9.05,2.13
AAPL,2016-05-11,95.644,95.736,94.601,92.510002,28719100,90.416656,9.05,2.13
AAPL,2016-05-12,94.867,94.928,91.541,90.339996,76314700,88.295753,9.05,2.13
AAPL,2016-05-13,92.084,93.792,92.084,90.519997,44392800,88.47168,9.05,2.13
AAPL,2016-05-16,94.529,96.575,93.772,93.879997,61259800,91.755653,9.05,2.13
AAPL,2016-05-17,96.739,96.893,95.163,93.489998,46916900,91.374474,9.05,2.13
AAPL,2016-05-18,96.34,97.414,96.064,94.559998,42062400,92.420265,9.05,2.13
AAPL,2016-05-19,96.831,96.831,95.736,94.199997,30442100,92.068405,9.05,2.13
AAPL,2016-05-20,96.831,97.639,96.708,95.220001,32026000,93.065338,9.05,2.13
AAPL,2016-05-23,98.09,99.44,97.885,96.43,38018600,94.24794,9.05,2.13
AAPL,2016-05-24,99.471,100.361,99.082,97.900002,35140200,95.684692,9.05,2.13
AAPL,2016-05-25,100.954,102.049,100.381,99.620003,38168800,97.365761,9.05,2.13
AAPL,2016-05-26,101.988,103.062,100.924,100.410004,56331200,98.137901,9.05,2.13
AAPL,2016-05-27,101.742,102.796,101.548,100.349998,36229500,98.079239,9.05,2.13
AAPL,2016-05-31,101.906,102.724,101.108,99.860001,42307200,97.600334,9.05,2.13
AAPL,2016-06-01,101.313,101.845,100.607,98.459999,29173300,96.232025,9.05,2.13
AAPL,2016-06-02,99.86,100.105,98.867,97.720001,40191600,95.508759,9.05,2.13
AAPL,2016-06-03,100.054,100.545,99.706,97.919998,28062900,95.704224,9.05,2.13
AAPL,2016-06-06,100.259,104.249,99.809,98.629997,23292500,96.398163,9.05,2.13
AAPL,2016-06-07,101.548,102.182,101.251,99.029999,22409500,96.789108,9.05,2.13
AAPL,2016-06-08,101.313,101.865,100.965,98.940002,20848100,96.701157,9.05,2.13
AAPL,2016-06-09,100.781,102.305,100.74,99.650002,26601400,97.395081,9.05,2.13
AAPL,2016-06-10,100.811,101.65,100.76,98.830002,31712900,96.593636,9.05,2.13
AAPL,2016-06-13,100.975,101.415,99.348,97.339996,38020500,95.137352,9.05,2.13
AAPL,2016-06-14,99.573,100.76,98.99,97.459999,31931900,95.254646,9.05,2.13
AAPL,2016-06-15,100.085,100.688,99.276,97.139999,29445200,94.941887,9.05,2.13
AAPL,2016-06-16,98.683,100.013,98.294,97.550003,31326800,95.342613,9.05,2.13
AAPL,2016-06-17,98.857,98.888,97.506,95.330002,61008200,93.172836,9.05,2.13
AAPL,2016-06-20,98.223,98.806,97.23,95.099998,34411900,92.948044,9.05,2.13
AAPL,2016-06-21,97.138,98.581,96.872,95.910004,35546400,93.739723,9.05,2.13
AAPL,2016-06-22,98.478,99.133,97.558,95.550003,29219100,93.387871,9.05,2.13
AAPL,2016-06-23,98.161,98.519,97.455,96.099998,32240200,93.925415,9.05,2.13
AAPL,2016-06-24,95.061,96.852,94.795,93.400002,75311400,91.286514,9.05,2.13
AAPL,2016-06-27,95.153,95.204,93.618,92.040001,45489600,89.957291,9.05,2.13
AAPL,2016-06-28,95.051,95.828,94.273,93.589996,40444900,91.472214,9.05,2.13
AAPL,2016-06-29,96.146,96.739,95.798,94.400002,36531000,92.263885,9.05,2.13
AAPL,2016-06-30,96.626,97.987,96.483,95.599998,35836400,93.436729,9.05,2.13
AAPL,2016-07-01,97.701,98.703,97.537,95.889999,26026500,93.720169,9.05,2.13
AAPL,2016-07-05,97.599,97.609,96.647,94.989998,27705200,92.840523,9.05,2.13
AAPL,2016-07-06,96.79,97.875,96.555,95.529999,30949100,93.368317,9.05,2.13
AAPL,2016-07-07,97.916,98.734,97.834,95.940002,25139600,93.769043,9.05,2.13
AAPL,2016-07-08,98.724,99.133,98.274,96.68,28912100,94.492294,9.05,2.13
AAPL,2016-07-11,98.99,99.911,98.97,96.980003,23794900,94.7855,9.05,2.13
AAPL,2016-07-12,99.42,99.962,99.369,97.419998,24167500,95.215546,9.05,2.13
AAPL,2016-07-13,99.665,99.931,99.082,96.870003,25892200,94.678001,9.05,2.13
AAPL,2016-07-14,99.645,101.282,99.573,98.790001,38919000,96.554558,9.05,2.13
AAPL,2016-07-15,101.21,101.599,100.78,98.779999,30137000,96.544777,9.05,2.13
AAPL,2016-07-18,100.985,102.448,100.883,99.830002,36493900,97.571014,9.05,2.13
AAPL,2016-07-19,101.865,102.315,101.64,99.870003,23779900,97.610107,9.05,2.13
AAPL,2016-07-20,102.315,102.786,102.049,99.959999,26276000,97.698074,9.05,2.13
AAPL,2016-07-21,102.141,103.338,101.425,99.43,32702000,97.180069,9.05,2.13
AAPL,2016-07-22,101.558,101.599,100.586,98.660004,28313700,96.42749,9.05,2.13
AAPL,2016-07-25,100.525,101.128,99.164,97.339996,40382900,95.137352,9.05,2.13
AAPL,2016-07-26,99.062,100.238,98.652,96.669998,56239800,94.482521,9.05,2.13
AAPL,2016-07-27,106.684,106.766,105.129,102.949997,92344800,100.620415,9.05,2.13
AAPL,2016-07-28,105.211,106.868,105.201,104.339996,39869800,101.978951,9.05,2.13
AAPL,2016-07-29,106.602,106.971,106.08,104.209999,27733700,101.851898,9.05,2.13
AAPL,2016-08-01,106.827,108.608,106.827,106.050003,38167900,103.650261,8.62,2.13
AAPL,2016-08-02,108.505,108.526,106.408,104.480003,33816600,102.115791,8.62,2.13
AAPL,2016-08-03,107.237,108.29,107.196,105.790001,30202600,103.396149,8.62,2.13
AAPL,2016-08-04,107.442,107.87,107.137,105.870003,27408700,104.034889,8.62,2.18
AAPL,2016-08-05,108.145,109.549,108.053,107.480003,40553400,105.616966,8.62,2.18
AAPL,2016-08-08,109.417,110.282,109.05,108.370003,28037200,106.491547,8.62,2.18
AAPL,2016-08-09,110.139,110.862,109.915,108.809998,26315200,106.92392,8.62,2.18
AAPL,2016-08-10,110.628,110.821,109.661,108,24008500,106.12796,8.62,2.18
AAPL,2016-08-11,110.434,110.851,109.752,107.93,27484500,106.059174,8.62,2.18
AAPL,2016-08-12,109.681,110.353,109.681,108.18,18660400,106.30484,8.62,2.18
AAPL,2016-08-15,110.048,111.472,109.986,109.480003,25868200,107.582306,8.62,2.18
AAPL,2016-08-16,111.564,112.174,111.136,109.379997,33794400,107.484032,8.62,2.18
AAPL,2016-08-17,111.024,111.299,110.251,109.220001,25356000,107.32682,8.62,2.18
AAPL,2016-08-18,111.157,111.533,110.943,109.080002,21984700,107.189247,8.62,2.18
AAPL,2016-08-19,110.689,111.625,110.271,109.360001,25368100,107.464386,8.62,2.18
AAPL,2016-08-22,110.78,111.024,109.752,108.510002,25820200,106.62912,8.62,2.18
AAPL,2016-08-23,110.505,111.248,110.444,108.849998,21257700,106.963219,8.62,2.18
AAPL,2016-08-24,110.485,110.668,109.579,108.029999,23675100,106.15744,8.62,2.18
AAPL,2016-08-25,109.284,109.783,108.562,107.57,25086200,105.705414,8.62,2.18
AAPL,2016-08-26,109.305,109.854,108.185,106.940002,27766300,105.086334,8.62,2.18
AAPL,2016-08-29,108.501,109.335,108.165,106.82,24970300,104.968414,8.62,2.18
AAPL,2016-08-30,107.666,108.379,107.361,106,24863900,104.162621,8.62,2.18
AAPL,2016-08-31,107.524,108.45,107.503,106.099998,29662400,104.260887,8.62,2.18
AAPL,2016-09-01,108.012,108.684,107.483,106.730003,26701500,104.879982,8.62,2.18
AAPL,2016-09-02,109.6,109.905,108.704,107.730003,26802500,105.862648,8.62,2.18
AAPL,2016-09-06,109.803,110.21,109.406,107.699997,26880400,105.833153,8.62,2.18
AAPL,2016-09-07,109.732,110.678,108.959,108.360001,42364300,106.48172,8.62,2.18
AAPL,2016-09-08,109.142,109.162,107.096,105.519997,53002000,103.690956,8.62,2.18
AAPL,2016-09-09,106.486,107.585,104.949,103.129997,46557000,101.342369,8.62,2.18
AAPL,2016-09-12,104.461,107.585,104.339,105.440002,45292800,103.612335,8.62,2.18
AAPL,2016-09-13,109.406,110.709,109.132,107.949997,62176200,106.078827,8.62,2.18
AAPL,2016-09-14,110.648,115.024,110.516,111.769997,110888700,109.832603,8.62,2.18
AAPL,2016-09-15,115.868,117.771,115.492,115.57,89983600,113.566742,8.62,2.18
AAPL,2016-09-16,117.151,118.178,116.052,114.919998,79886900,112.928009,8.62,2.18
AAPL,2016-09-19,117.222,118.229,115.248,113.580002,47023000,111.611237,8.62,2.18
AAPL,2016-09-20,115.044,116.133,114.495,113.57,34514300,111.60141,8.62,2.18
AAPL,2016-09-21,115.858,116.001,114.423,113.550003,36003200,111.581757,8.62,2.18
AAPL,2016-09-22,116.367,116.967,116.011,114.620003,31074000,112.633217,8.62,2.18
AAPL,2016-09-23,116.438,116.815,113.518,112.709999,52481200,110.756317,8.62,2.18
AAPL,2016-09-26,113.609,115.39,113.518,112.879997,29869400,110.923363,8.62,2.18
AAPL,2016-09-27,114.993,115.176,114.322,113.089996,24607400,111.129723,8.62,2.18
AAPL,2016-09-28,115.695,116.662,115.431,113.949997,29641100,111.974823,8.62,2.18
AAPL,2016-09-29,115.156,115.807,113.772,112.18,35887000,110.235504,8.62,2.18
AAPL,2016-09-30,114.444,115.37,113.772,113.050003,36379100,111.090431,8.62,2.18
AAPL,2016-10-03,114.698,115.044,114.261,112.519997,21701800,110.569603,8.62,2.18
AAPL,2016-10-04,115.054,116.326,114.617,113,29736800,111.04129,8.62,2.18
AAPL,2016-10-05,115.4,115.665,114.678,113.050003,21453100,111.090431,8.62,2.18
AAPL,2016-10-06,115.706,116.357,115.126,113.889999,28779300,111.915863,8.62,2.18
AAPL,2016-10-07,116.326,116.581,115.512,114.059998,24358400,112.082916,8.62,2.18
AAPL,2016-10-10,117.049,118.809,116.744,116.050003,36236000,114.038429,8.62,2.18
AAPL,2016-10-11,119.776,120.784,118.25,116.300003,64041000,114.284088,8.62,2.18
AAPL,2016-10-12,119.42,120.061,118.809,117.339996,37586800,115.306061,8.62,2.18
AAPL,2016-10-13,118.85,119.512,117.761,116.980003,35192400,114.952301,8.62,2.18
AAPL,2016-10-14,119.959,120.254,119.196,117.629997,35652200,115.591034,8.62,2.18
AAPL,2016-10-17,119.4,119.919,118.84,117.550003,23624900,115.512428,8.62,2.18
AAPL,2016-10-18,120.265,120.295,119.522,117.470001,24553500,115.433815,8.62,2.18
AAPL,2016-10-19,119.318,119.837,115.807,117.120003,20034600,115.089874,8.62,2.18
AAPL,2016-10-20,118.921,119.451,118.382,117.059998,24125800,115.030914,8.62,2.18
AAPL,2016-10-21,118.87,118.972,118.331,116.599998,23192700,114.57888,8.62,2.18
AAPL,2016-10-24,119.166,119.817,119.064,117.650002,23538700,115.61068,8.62,2.18
AAPL,2016-10-25,120.031,120.448,119.379,118.25,48129000,116.200294,8.62,2.18
AAPL,2016-10-26,116.326,117.741,115.309,115.589996,66134200,113.586395,8.62,2.18
AAPL,2016-10-27,117.425,117.904,116.113,114.480003,34562000,112.495644,8.62,2.18
AAPL,2016-10-28,115.879,117.242,115.451,113.720001,37861700,111.748817,8.62,2.18
AAPL,2016-10-31,115.655,116.245,115.197,113.540001,26419400,111.57193,8.62,2.18
AAPL,2016-11-01,115.461,115.777,112.48,111.489998,43825800,109.557465,8.62,2.18
AAPL,2016-11-02,113.365,114.332,113.192,111.589996,28331700,109.655731,8.33,2.18
AAPL,2016-11-03,112.361,112.847,110.913,109.830002,26932600,108.480354,8.33,2.23
AAPL,2016-11-04,109.88,111.622,109.455,108.839996,30837000,107.502518,8.33,2.23
AAPL,2016-11-07,111.45,111.885,110.822,110.410004,32560000,109.053238,8.33,2.23
AAPL,2016-11-08,111.682,113.11,111.065,111.059998,24054500,109.695236,8.33,2.23
AAPL,2016-11-09,111.247,112.705,109.394,110.879997,59176400,109.517456,8.33,2.23
AAPL,2016-11-10,112.472,112.472,107.147,107.790001,57134500,106.465424,8.33,2.23
AAPL,2016-11-11,108.453,110.224,107.876,108.43,34094100,107.097557,8.33,2.23
AAPL,2016-11-14,109.05,109.151,105.375,105.709999,51175500,104.41098,8.33,2.23
AAPL,2016-11-15,107.896,109.02,107.481,107.110001,32264500,105.793777,8.33,2.23
AAPL,2016-11-16,108.027,111.601,107.926,109.989998,58840500,108.638382,8.33,2.23
AAPL,2016-11-17,111.176,111.723,110.184,109.949997,27632000,108.598877,8.33,2.23
AAPL,2016-11-18,111.085,111.915,111.024,110.059998,28428900,108.707527,8.33,2.23
AAPL,2016-11-21,111.49,113.383,111.379,111.730003,29264600,110.35701,8.33,2.23
AAPL,2016-11-22,113.343,113.819,112.786,111.800003,25965500,110.426147,8.33,2.23
AAPL,2016-11-23,112.745,112.897,111.703,111.230003,27426400,109.863159,8.33,2.23
AAPL,2016-11-25,112.513,113.262,112.33,111.790001,11475900,110.416275,8.33,2.23
AAPL,2016-11-28,112.816,113.869,112.776,111.57,27194000,110.198975,8.33,2.23
AAPL,2016-11-29,112.158,113.424,111.439,111.459999,28528800,110.090332,8.33,2.23
AAPL,2016-11-30,112.988,113.596,111.642,110.519997,36162300,109.16188,8.33,2.23
AAPL,2016-12-01,111.743,112.32,110.386,109.489998,37086900,108.144531,8.33,2.23
AAPL,2016-12-02,110.528,111.46,110.204,109.900002,26528000,108.5495,8.33,2.23
AAPL,2016-12-05,111.369,111.399,109.597,109.110001,34324500,107.769203,8.33,2.23
AAPL,2016-12-06,110.862,111.733,110.548,109.949997,26195500,108.598877,8.33,2.23
AAPL,2016-12-07,110.619,112.573,110.518,111.029999,29998700,109.665604,8.33,2.23
AAPL,2016-12-08,112.239,113.829,111.976,112.120003,27068300,110.742218,8.33,2.23
AAPL,2016-12-09,113.707,116.127,113.707,113.949997,34402600,112.549728,8.33,2.23
AAPL,2016-12-12,114.699,116.431,113.89,113.300003,26374400,111.907722,8.33,2.23
AAPL,2016-12-13,115.256,117.362,115.165,115.190002,43733800,113.77449,8.33,2.23
AAPL,2016-12-14,116.471,117.646,116.411,115.190002,34031800,113.77449,8.33,2.23
AAPL,2016-12-15,116.815,118.182,116.664,115.82,46524500,114.396751,8.33,2.23
AAPL,2016-12-16,117.919,117.949,117.089,115.970001,44351100,114.544907,8.33,2.23
AAPL,2016-12-19,117.241,118.84,117.19,116.639999,27779400,115.206673,8.33,2.23
AAPL,2016-12-20,118.192,118.962,118.132,116.949997,21425000,115.512863,8.33,2.23
AAPL,2016-12-21,118.253,118.861,118.233,117.059998,23783200,115.621513,8.33,2.23
AAPL,2016-12-22,117.798,117.96,117.079,116.290001,26085900,114.860977,8.33,2.23
AAPL,2016-12-23,117.028,117.97,117.028,116.519997,14181200,115.088142,8.33,2.23
AAPL,2016-12-27,117.97,119.266,117.939,117.260002,18296900,115.819054,8.33,2.23
AAPL,2016-12-28,118.982,119.488,117.646,116.760002,20905900,115.325203,8.33,2.23
AAPL,2016-12-29,117.899,118.567,117.848,116.730003,15039500,115.29557,8.33,2.23
AAPL,2016-12-30,118.101,118.658,116.866,115.82,30586300,114.396751,8.33,2.23
